Sentenças,Proposições
Bom dia!,Eu uso óculos
Vá embora!,Está chovendo
Você está aqui?,Eu estou de tênis
Posso ir ao banheiro?,Hoje é segunda-feira
Feche a janela!,Eu tenho um cachorro
"Silêncio, por favor!",O ceu está azul
Responda a pergunta!,Eu gosto de pizza
Escreva no caderno!,O quadro está limpo
Levante a mão!,A luz está apagada
Guarde o material,Eu fiz a lição de casa
Abra o caderno,O(a) professor(a) usa óculos
Feche o livro,Eu estou com fome
Entregue a tarefa,Eu esqueci meu caderno
Chame a professora,Eu tenho um gato
Espere o colega,Eu estou de camiseta
Sente-se na sua cadeira,Hoje não tem prova
Copie o texto no caderno,Eu não estou em casa
Por que?,O ventilador não funciona
Venha até aqui,A janela não está fechada
Apague o quadro,Eu não entendi a brincadeira
Faça o exercício,A turma não está em silêncio
Troque de lugar,Hoje não é quarta-feira
Mostre sua resposta,Eu não gosto de matemática
Abra a janela,Eu não tenho um papagaio
Ajude o colega,Eu não trouxe minha garrafa
Feche a mochila,Eu não estou de calça
Trabalhem em duplas,Eu não cheguei atrasado hoje
Repita a frase,Eu não estou com fome
Espere sua vez,A sala não está organizada
Corrija o erro,O ceu não está nublado
Escute com atenção,
Não converse agora,
Você não pode falar agora,
Não guarde o seu material!,
Não venha aqui!,
Não saia da sala de aula,
Não use o celular,
Não corra na sala,
Você não veio ontem?,
Por que não?,
Não fale alto,
Não abra o livro agora,
Não copie tudo,
Não jogue lixo no chão,
Não esqueça seu material,
Não demore na atividade,
Não interrompa o colega,
Não use caneta vermelha,
Não levante agora,
Não rabisque sua mesa,
Não minta para o professor,
Não apague o quadro,
Não troque de lugar,
Não levante a mão,
Não encoste no chão,
Não saia na chuva,
Não suje a sala,
Você não está bem?,
Ele não voltou?,
Ela não escreveu?,